accountsservice 0.6.45-1ubuntu1
fonts-lohit-guru 2.91.2-1
fonts-lohit-knda 2.5.4-1
fonts-lohit-mlym 2.92.2-1
fonts-lohit-orya 2.91.2-1
fonts-lohit-taml 2.91.3-1
fonts-lohit-taml-classical 2.5.4-1
fonts-lohit-telu 2.5.5-1
fonts-mlym 2:1.2
fonts-nakula 1.0-3
fonts-nanum 20170925-1
fonts-navilu 1.2-2
fonts-noto-cjk 1:20190409+repack1-0ubuntu0.18.04
fonts-noto-color-emoji 0~20180810-0ubuntu1
fonts-orya 2:1.2
fonts-orya-extra 2.0-5ubuntu0.1
fonts-pagul 1.0-7
fonts-sahadeva 1.0-4
fonts-samyak-deva 1.2.2-4
fonts-samyak-gujr 1.2.2-4
fonts-samyak-mlym 1.2.2-4
fonts-samyak-taml 1.2.2-4
fonts-sarai 1.0-2
fonts-sil-abyssinica 1.500-1
fonts-sil-padauk 3.003-1
fonts-smc 1:7.0
fonts-smc-anjalioldlipi 7.0-2
fonts-smc-chilanka 1.2.0-2
fonts-smc-dyuthi 2.0-1
fonts-smc-karumbi 1.0-1
fonts-smc-keraleeyam 2.0-1
fonts-smc-manjari 1.5.1-1
fonts-smc-meera 7.0-2
fonts-smc-rachana 7.0-2
fonts-smc-raghumalayalamsans 2.1.1-2
fonts-smc-suruma 3.2.1-1
fonts-smc-uroob 2.0-1
fonts-taml 2:1.3
fonts-telu 2:1.2
fonts-telu-extra 2.0-4
fonts-thai-tlwg 1:0.6.4-2
fonts-tibetan-machine 1.901b-5
fonts-tlwg-garuda 1:0.6.4-2
fonts-tlwg-garuda-ttf 1:0.6.4-2
fonts-tlwg-kinnari 1:0.6.4-2
fonts-tlwg-kinnari-ttf 1:0.6.4-2
fonts-tlwg-laksaman 1:0.6.4-2
fonts-tlwg-laksaman-ttf 1:0.6.4-2
fonts-tlwg-loma 1:0.6.4-2
fonts-tlwg-loma-ttf 1:0.6.4-2
fonts-tlwg-mono 1:0.6.4-2
fonts-tlwg-mono-ttf 1:0.6.4-2
fonts-tlwg-norasi 1:0.6.4-2
fonts-tlwg-norasi-ttf 1:0.6.4-2
fonts-tlwg-purisa 1:0.6.4-2
fonts-tlwg-purisa-ttf 1:0.6.4-2
fonts-tlwg-sawasdee 1:0.6.4-2
fonts-tlwg-sawasdee-ttf 1:0.6.4-2
fonts-tlwg-typewriter 1:0.6.4-2
fonts-tlwg-typewriter-ttf 1:0.6.4-2
fonts-tlwg-typist 1:0.6.4-2
fonts-tlwg-typist-ttf 1:0.6.4-2
fonts-tlwg-typo 1:0.6.4-2
fonts-tlwg-typo-ttf 1:0.6.4-2
fonts-tlwg-umpush 1:0.6.4-2
fonts-tlwg-umpush-ttf 1:0.6.4-2
fonts-tlwg-waree 1:0.6.4-2
fonts-tlwg-waree-ttf 1:0.6.4-2
fonts-ubuntu 0.83-2
foomatic-db-compressed-ppds 20180306-1
freepats 20060219-1
friendly-recovery 0.2.38ubuntu1.1
ftp 0.17-34
fuse 2.9.7-1ubuntu1
fwupd 1.0.9-0ubuntu2
fwupdate 12-3bionic2
fwupdate-signed 1.19bionic2+12-3bionic2
g++ 4:7.4.0-1ubuntu2.3
g++-7 7.4.0-1ubuntu1~18.04.1
galculator 2.1.4-1build1
gcc 4:7.4.0-1ubuntu2.3
gcc-6 6.5.0-2ubuntu1~18.04
gcc-6-base 6.5.0-2ubuntu1~18.04
gcc-7 7.4.0-1ubuntu1~18.04.1
gcc-7-base 7.4.0-1ubuntu1~18.04.1
gcc-8-base 8.3.0-6ubuntu1~18.04.1
gcr 3.28.0-1
gdebi 0.9.5.7+nmu2
gdebi-core 0.9.5.7+nmu2
gdisk 1.0.3-1
genisoimage 9:1.1.11-3ubuntu2
geoclue-2.0 2.4.7-1ubuntu1
geoip-database 20180315-1
gettext 0.19.8.1-6ubuntu0.3
gettext-base 0.19.8.1-6ubuntu0.3
ghostscript 9.26~dfsg+0-0ubuntu0.18.04.10
ghostscript-x 9.26~dfsg+0-0ubuntu0.18.04.10
giblib1 1.2.4-11
gir1.2-appindicator3-0.1 12.10.1+18.04.20180322.1-0ubuntu1
gir1.2-atk-1.0 2.28.1-1
gir1.2-dbusmenu-glib-0.4 16.04.1+18.04.20171206-0ubuntu2
gir1.2-dee-1.0 1.2.7+17.10.20170616-0ubuntu4
gir1.2-freedesktop 1.56.1-1
gir1.2-gdkpixbuf-2.0 2.36.11-2
gir1.2-glib-2.0 1.56.1-1
gir1.2-gnomekeyring-1.0 3.12.0-1build1
gir1.2-goa-1.0 3.28.0-0ubuntu2.1
gir1.2-gtk-3.0 3.22.30-1ubuntu4
gir1.2-gudev-1.0 1:232-2
gir1.2-javascriptcoregtk-4.0 2.24.2-0ubuntu0.18.04.1
gir1.2-notify-0.7 0.7.7-3
gir1.2-packagekitglib-1.0 1.1.9-1ubuntu2.18.04.5
gir1.2-pango-1.0 1.40.14-1ubuntu0.1
gir1.2-polkit-1.0 0.105-20ubuntu0.18.04.5
gir1.2-secret-1 0.18.6-1
gir1.2-snapd-1 1.47-0ubuntu0.18.04.0
gir1.2-soup-2.4 2.62.1-1ubuntu0.1
gir1.2-udisks-2.0 2.7.6-3ubuntu0.2
gir1.2-unity-5.0 7.1.4+18.04.20180209.1-0ubuntu2
gir1.2-vte-2.91 0.52.2-1ubuntu1~18.04.2
gir1.2-webkit2-4.0 2.24.2-0ubuntu0.18.04.1
gir1.2-wnck-3.0 3.24.1-2
git 1:2.17.1-1ubuntu0.4
git-man 1:2.17.1-1ubuntu0.4
glib-networking 2.56.0-1
glib-networking-common 2.56.0-1
glib-networking-services 2.56.0-1
gnome-desktop3-data 3.28.2-0ubuntu1.5
gnome-disk-utility 3.28.3-0ubuntu1~18.04.1
gnome-icon-theme 3.12.0-3
gnome-keyring 3.28.0.2-1ubuntu1.18.04.1
gnome-keyring-pkcs11 3.28.0.2-1ubuntu1.18.04.1
gnome-mplayer 1.0.9-3ubuntu3
gnome-mpv 0.13-1ubuntu1
gnome-software 3.28.1-0ubuntu4.18.04.10
gnome-software-common 3.28.1-0ubuntu4.18.04.10
gnome-software-plugin-snap 3.28.1-0ubuntu4.18.04.10
gnome-system-tools 3.0.0-6ubuntu1
gnome-time-admin 3.0.0-4ubuntu3
gnumeric 1.12.35-1.1
gnumeric-common 1.12.35-1.1
gnupg 2.2.4-1ubuntu1.2
gnupg-agent 2.2.4-1ubuntu1.2
gnupg-l10n 2.2.4-1ubuntu1.2
gnupg-utils 2.2.4-1ubuntu1.2
gpg 2.2.4-1ubuntu1.2
gpg-agent 2.2.4-1ubuntu1.2
gpg-wks-client 2.2.4-1ubuntu1.2
gpg-wks-server 2.2.4-1ubuntu1.2
gpgconf 2.2.4-1ubuntu1.2
gpgsm 2.2.4-1ubuntu1.2
gpgv 2.2.4-1ubuntu1.2
gpicview 0.2.5-2
grep 3.1-2
groff-base 1.22.3-10
grub-common 2.02-2ubuntu8.13
grub-gfxpayload-lists 0.7
grub-pc 2.02-2ubuntu8.13
grub-pc-bin 2.02-2ubuntu8.13
grub2-common 2.02-2ubuntu8.13
gsettings-desktop-schemas 3.28.0-1ubuntu1
gsettings-ubuntu-schemas 0.0.7+17.10.20170922-0ubuntu1
gsfonts 1:8.11+urwcyr1.0.7~pre44-4.4
gstreamer1.0-gl 1.14.5-0ubuntu1~18.04.1
gstreamer1.0-libav 1.14.5-0ubuntu1~18.04.1
gstreamer1.0-nice 0.1.14-1
gstreamer1.0-plugins-bad 1.14.5-0ubuntu1~18.04.1
gstreamer1.0-plugins-base 1.14.5-0ubuntu1~18.04.1
gstreamer1.0-plugins-good 1.14.5-0ubuntu1~18.04.1
gstreamer1.0-plugins-ugly 1.14.5-0ubuntu1~18.04.1
gstreamer1.0-pulseaudio 1.14.5-0ubuntu1~18.04.1
gtk-update-icon-cache 3.22.30-1ubuntu4
gtk2-engines 1:2.20.2-5
gtk2-engines-murrine 0.98.2-2ubuntu1
gtk2-engines-pixbuf 2.24.32-1ubuntu1
gtklp 1.3.1-0.1build1
gucharmap 1:10.0.4-1
guvcview 2.0.5+debian-1
gvfs 1.36.1-0ubuntu1.3.3
gvfs-backends 1.36.1-0ubuntu1.3.3
gvfs-common 1.36.1-0ubuntu1.3.3
gvfs-daemons 1.36.1-0ubuntu1.3.3
gvfs-fuse 1.36.1-0ubuntu1.3.3
gvfs-libs 1.36.1-0ubuntu1.3.3
gzip 1.6-5ubuntu1
handbrake-cli 1:1.2.1-zhb-1ppa1~bionic1
handbrake-gtk 1:1.2.1-zhb-1ppa1~bionic1
hardinfo 0.5.1+git20180227-1
hdparm 9.54+ds-1
hicolor-icon-theme 0.17-2
hostname 3.20
hplip 3.17.10+repack0-5
hplip-data 3.17.10+repack0-5
htop 2.1.0-3
humanity-icon-theme 0.6.15
hunspell-en-us 1:2017.08.24
i965-va-driver 2.1.0-0ubuntu1
ibverbs-providers 17.1-1ubuntu0.1
ifupdown 0.8.17ubuntu1.1
iio-sensor-proxy 2.4-2
im-config 0.34-1ubuntu1.3
imagemagick 8:6.9.7.4+dfsg-16ubuntu6.7
imagemagick-6-common 8:6.9.7.4+dfsg-16ubuntu6.7
imagemagick-6.q16 8:6.9.7.4+dfsg-16ubuntu6.7
indicator-application 12.10.1+18.04.20190308.1-0ubuntu1
indicator-application-gtk2 12.10.0.1-0ubuntu4
indicator-common 16.10.0+18.04.20180321.1-0ubuntu1
indicator-sound 12.10.2+18.04.20180420.3-0ubuntu1
indicator-sound-gtk2 12.10.0.1-0ubuntu6
info 6.5.0.dfsg.1-2
init 1.51
init-system-helpers 1.51
initramfs-tools 0.130ubuntu3.8
initramfs-tools-bin 0.130ubuntu3.8
initramfs-tools-core 0.130ubuntu3.8
inputattach 1:1.6.0-2
install-info 6.5.0.dfsg.1-2
intel-microcode 3.20190618.0ubuntu0.18.04.1
intltool-debian 0.35.0+20060710.4
iproute2 4.15.0-2ubuntu1
iptables 1.6.1-2ubuntu2
iputils-ping 3:20161105-1ubuntu3
iputils-tracepath 3:20161105-1ubuntu3
irqbalance 1.3.0-0.1ubuntu0.18.04.1
isc-dhcp-client 4.3.5-3ubuntu7.1
isc-dhcp-common 4.3.5-3ubuntu7.1
iso-codes 3.79-1
iucode-tool 2.3.1-1
iw 4.14-0.1
javascript-common 11
joystick 1:1.6.0-2
jstest-gtk 0.1.1~git20160825-2
kbd 2.0.4-2ubuntu1
kerneloops 0.12+git20140509-6ubuntu2
kerneloops-applet 0.12+git20140509-6ubuntu2
kerneloops-daemon 0.12+git20140509-2ubuntu1
keyboard-configuration 1.178ubuntu2.9
klibc-utils 2.0.4-9ubuntu2
kmod 24-1ubuntu3.2
krb5-locales 1.16-2ubuntu0.1
language-pack-en 1:18.04+20190718
language-pack-en-base 1:18.04+20180712
language-pack-gnome-en 1:18.04+20190718
language-pack-gnome-en-base 1:18.04+20180712
language-selector-common 0.188.3
language-selector-gnome 0.188.3
laptop-detect 0.16
leafpad 0.8.18.1-5
less 487-0.1
liba52-0.7.4 0.7.4-19
libaa1 1.4p5-44build2
libabiword-3.0 3.0.2-6
